CO_MAIN,CO_AUX,NO2_MAIN,NO2_AUX,GAS_TEMP,MICS_CO,MICS_NO2,MICS_HN3
355,3300,228,383,259,828,3144,1719
355,3300,228,388,261,828,3142,1719
355,3300,230,387,259,829,3146,1718
355,3300,233,389,259,829,3144,1719
358,3300,230,388,259,829,3145,1718
358,3300,231,388,258,829,3144,1719
354,3300,229,389,259,831,3142,1719
355,3300,230,389,259,832,3144,1719
357,3300,234,394,259,832,3143,1719
355,3300,229,386,259,831,3143,1719
354,3300,228,388,259,831,3141,1720
355,3300,230,388,259,832,3144,1720
356,3300,228,387,259,832,3141,1719
357,3300,232,391,259,832,3143,1718
359,3300,230,388,259,832,3140,1719
356,3300,225,386,259,833,3141,1719
359,3300,230,390,258,832,3143,1719
359,3300,230,389,259,832,3142,1719
359,3300,227,386,259,832,3142,1719
357,3300,222,386,259,833,3140,1718
359,3300,226,391,260,834,3140,1718
357,3300,227,387,258,833,3141,1718
357,3300,230,392,259,833,3140,1718
358,3300,228,392,259,833,3139,1719
359,3300,230,392,259,832,3140,1718
359,3300,232,393,259,832,3141,1719
361,3300,230,391,259,833,3141,1719
363,3300,228,388,259,832,3140,1719
360,3300,228,389,259,833,3141,1719
360,3300,228,390,259,831,3140,1716
361,3300,231,389,259,832,3139,1719
360,3300,230,373,259,834,3140,1718
358,3300,228,391,258,832,3140,1718
359,3300,231,394,259,833,3140,1717
355,3300,228,391,259,836,3140,1719
361,3300,229,389,259,832,3142,1719
359,3300,231,391,259,833,3141,1719
359,3300,230,390,259,832,3141,1719
355,3300,230,389,260,834,3139,1720
356,3300,229,390,259,832,3139,1719
363,3300,231,394,259,833,3140,1719
361,3300,230,391,259,833,3139,1719
358,3300,230,390,259,835,3142,1717
357,3300,230,392,260,835,3140,1720
362,3300,231,393,259,834,3142,1718
357,3300,228,391,259,836,3140,1719
356,3300,225,392,259,835,3142,1719
356,3300,227,393,260,836,3139,1719
358,3300,229,393,259,836,3140,1718
358,3300,226,389,259,835,3140,1719
358,3300,227,391,259,836,3140,1719
360,3300,230,392,259,834,3140,1719
362,3300,230,392,259,836,3140,1718
358,3300,226,389,259,836,3143,1719
354,3300,230,394,263,836,3142,1719
357,3300,230,396,263,835,3142,1717
359,3300,226,394,259,836,3141,1718
357,3300,228,393,259,834,3140,1718
359,3300,229,392,259,836,3142,1718
364,3300,225,388,259,836,3141,1717
361,3300,229,377,259,836,3143,1718
355,3300,227,373,259,836,3144,1718
356,3300,227,393,259,837,3141,1719
358,3300,228,395,259,838,3142,1717
357,3300,232,397,259,837,3143,1718
360,3300,230,396,259,836,3141,1718
359,3300,229,395,258,836,3143,1718
360,3300,231,394,260,837,3141,1719
359,3300,228,393,259,836,3144,1717
359,3300,229,394,259,837,3143,1718
363,3300,231,395,259,837,3143,1717
359,3300,230,396,258,836,3142,1718
356,3300,228,398,259,839,3140,1719
359,3300,227,394,258,836,3145,1719
359,3300,228,396,259,836,3144,1718
363,3300,229,396,259,837,3144,1718
361,3300,226,394,259,836,3141,1717
362,3300,231,398,258,836,3142,1718
360,3300,229,396,259,837,3144,1718
362,3300,231,399,259,837,3144,1718
362,3300,231,397,258,836,3143,1719
357,3300,229,405,260,839,3143,1719
360,3300,229,399,259,836,3144,1718
359,3300,229,396,259,838,3144,1718
358,3300,230,397,259,837,3144,1718
356,3300,228,396,259,837,3146,1718
355,3300,228,401,260,839,3143,1719
359,3300,230,400,259,837,3144,1718
355,3300,229,402,259,838,3144,1720
357,3300,228,403,258,838,3145,1718
357,3300,230,405,258,837,3145,1718
